,heuristic,solution_len,acc,beam_width
0,mult_heuristic,293,False,1
1,mult_heuristic,242,True,1
2,sum_heuristic,1686,True,5
3,sum_heuristic,301,False,1
4,sum_heuristic,798,True,3
5,mult_heuristic,1352,False,2
6,sum_heuristic,1298,False,2
7,mult_heuristic,6555,False,4
8,mult_heuristic,9596,False,5
9,mult_heuristic,233,True,1
10,mult_heuristic,1247,False,2
11,sum_heuristic,1269,False,2
12,mult_heuristic,2648,True,4
13,sum_heuristic,237,True,1
14,mult_heuristic,3215,True,4
15,mult_heuristic,1298,False,2
16,sum_heuristic,4304,True,5
17,sum_heuristic,1593,True,4
18,mult_heuristic,6228,False,4
19,mult_heuristic,9603,False,5
20,mult_heuristic,1316,True,4
21,mult_heuristic,301,False,1
22,mult_heuristic,2643,True,3
23,sum_heuristic,3508,False,3
24,sum_heuristic,1903,True,3
25,sum_heuristic,483,True,2
26,mult_heuristic,2235,True,4
27,mult_heuristic,475,True,2
28,sum_heuristic,1296,False,2
29,mult_heuristic,1859,True,5
30,sum_heuristic,1269,False,2
31,mult_heuristic,817,True,3
32,sum_heuristic,827,True,3
33,sum_heuristic,1286,False,2
34,sum_heuristic,1339,True,4
35,sum_heuristic,1406,True,3
36,sum_heuristic,289,False,1
37,mult_heuristic,3450,True,5
38,mult_heuristic,9797,False,5
39,sum_heuristic,3670,False,3
40,mult_heuristic,1215,False,2
41,sum_heuristic,306,False,1
42,mult_heuristic,301,False,1
43,sum_heuristic,294,False,1
44,sum_heuristic,1980,True,3
45,mult_heuristic,244,True,1
46,sum_heuristic,281,False,1
47,mult_heuristic,2518,True,4
48,mult_heuristic,6272,False,4
49,mult_heuristic,2264,True,4
50,sum_heuristic,1352,True,4
51,sum_heuristic,293,False,1
52,sum_heuristic,3347,False,3
53,sum_heuristic,2004,True,5
54,sum_heuristic,1668,True,3
55,mult_heuristic,3475,False,3
56,sum_heuristic,1756,True,5
57,sum_heuristic,1107,True,3
58,mult_heuristic,3015,True,4
59,mult_heuristic,854,True,3
60,sum_heuristic,1274,False,2
61,mult_heuristic,293,False,1
62,mult_heuristic,1835,True,5
63,sum_heuristic,293,False,1
64,sum_heuristic,3540,False,3
65,sum_heuristic,3483,False,3
66,sum_heuristic,1502,True,4
67,mult_heuristic,1923,True,5
68,sum_heuristic,297,False,1
69,mult_heuristic,1886,True,5
70,sum_heuristic,233,True,1
71,mult_heuristic,853,True,3
72,mult_heuristic,4446,True,4
73,sum_heuristic,1293,True,4
74,mult_heuristic,9707,False,5
75,mult_heuristic,850,True,3
76,mult_heuristic,6426,False,4
77,sum_heuristic,570,True,2
78,sum_heuristic,850,True,3
79,sum_heuristic,1282,True,4
80,mult_heuristic,1482,True,4
81,sum_heuristic,570,True,2
82,mult_heuristic,2932,True,5
83,sum_heuristic,1274,False,2
84,sum_heuristic,289,False,1
85,mult_heuristic,3462,False,3
86,sum_heuristic,1943,True,3
87,mult_heuristic,289,False,1
88,mult_heuristic,293,False,1
89,sum_heuristic,3516,False,3
90,sum_heuristic,1318,False,2
91,mult_heuristic,3377,False,3
92,sum_heuristic,306,False,1
93,sum_heuristic,1964,True,5
94,sum_heuristic,301,False,1
95,mult_heuristic,1274,False,2
96,mult_heuristic,6453,False,4
97,mult_heuristic,1264,False,2
98,sum_heuristic,3994,True,4
99,sum_heuristic,1647,True,3
100,mult_heuristic,306,False,1
101,mult_heuristic,3449,False,3
102,mult_heuristic,1152,True,3
103,sum_heuristic,6215,False,4
104,sum_heuristic,2059,True,5
105,sum_heuristic,6136,False,4
106,sum_heuristic,6170,False,4
107,mult_heuristic,1223,False,2
108,sum_heuristic,3533,False,3
109,mult_heuristic,5889,True,5
110,mult_heuristic,306,False,1
111,mult_heuristic,1211,True,4
112,sum_heuristic,1205,False,2
113,mult_heuristic,6321,False,4
114,sum_heuristic,297,False,1
115,mult_heuristic,2428,True,3
116,sum_heuristic,6552,False,4
117,mult_heuristic,306,False,1
