,heuristic,solution_len,acc,cum_acc
1472,mult_heuristic,21,False,0.0
1128,mult_heuristic,21,False,0.0
9045,mult_heuristic,21,False,0.0
4834,mult_heuristic,21,False,0.0
9824,mult_heuristic,21,False,0.0
4706,sum_heuristic,21,False,0.0
17997,mult_heuristic,21,False,0.0
16457,mult_heuristic,21,False,0.0
8615,mult_heuristic,21,False,0.0
10303,mult_heuristic,21,False,0.0
10245,mult_heuristic,21,False,0.0
1773,mult_heuristic,21,False,0.0
10535,mult_heuristic,21,False,0.0
10874,sum_heuristic,21,False,0.0
18374,mult_heuristic,21,False,0.0
4156,mult_heuristic,21,False,0.0
15560,mult_heuristic,21,False,0.0
11291,mult_heuristic,21,False,0.0
11445,mult_heuristic,21,False,0.0
7764,mult_heuristic,21,False,0.0
5786,mult_heuristic,21,False,0.0
15380,mult_heuristic,21,False,0.0
15280,mult_heuristic,21,False,0.0
15149,sum_heuristic,21,False,0.0
18876,mult_heuristic,21,False,0.0
5953,mult_heuristic,21,False,0.0
14485,mult_heuristic,21,False,0.0
19131,mult_heuristic,21,False,0.0
3470,mult_heuristic,21,False,0.0
2809,mult_heuristic,21,False,0.0
14130,mult_heuristic,21,False,0.0
12954,mult_heuristic,21,False,0.0
13899,sum_heuristic,21,False,0.0
6462,mult_heuristic,21,False,0.0
13695,mult_heuristic,21,False,0.0
5152,mult_heuristic,22,False,0.0
17463,mult_heuristic,22,False,0.0
6629,mult_heuristic,22,False,0.0
19658,sum_heuristic,22,False,0.0
6684,sum_heuristic,22,False,0.0
13582,mult_heuristic,22,False,0.0
13438,mult_heuristic,22,False,0.0
13714,mult_heuristic,22,False,0.0
13722,mult_heuristic,22,False,0.0
13629,mult_heuristic,22,False,0.0
3042,mult_heuristic,22,False,0.0
13493,mult_heuristic,22,False,0.0
13671,mult_heuristic,22,False,0.0
112,mult_heuristic,22,False,0.0
116,mult_heuristic,22,False,0.0
6650,mult_heuristic,22,False,0.0
5021,mult_heuristic,22,False,0.0
5072,mult_heuristic,22,False,0.0
17227,mult_heuristic,22,False,0.0
1246,mult_heuristic,22,False,0.0
5223,mult_heuristic,22,False,0.0
17147,mult_heuristic,22,False,0.0
9538,mult_heuristic,22,False,0.0
9165,mult_heuristic,22,False,0.0
1429,mult_heuristic,22,False,0.0
17025,mult_heuristic,22,False,0.0
17028,mult_heuristic,22,False,0.0
17686,mult_heuristic,22,False,0.0
8999,sum_heuristic,22,False,0.0
8990,mult_heuristic,22,False,0.0
17104,mult_heuristic,22,False,0.0
17709,mult_heuristic,22,False,0.0
17715,mult_heuristic,22,False,0.0
16971,mult_heuristic,22,False,0.0
4921,mult_heuristic,22,False,0.0
17643,mult_heuristic,22,False,0.0
6794,mult_heuristic,22,False,0.0
13285,mult_heuristic,22,False,0.0
6285,mult_heuristic,22,False,0.0
13896,mult_heuristic,22,False,0.0
17046,mult_heuristic,22,False,0.0
5299,mult_heuristic,22,False,0.0
8920,mult_heuristic,22,False,0.0
16906,mult_heuristic,22,False,0.0
16923,mult_heuristic,22,False,0.0
9829,mult_heuristic,22,False,0.0
1427,mult_heuristic,22,False,0.0
1642,mult_heuristic,22,False,0.0
8842,mult_heuristic,22,False,0.0
8767,mult_heuristic,22,False,0.0
8753,mult_heuristic,22,False,0.0
9967,mult_heuristic,22,False,0.0
1586,mult_heuristic,22,False,0.0
10061,mult_heuristic,22,False,0.0
10072,mult_heuristic,22,False,0.0
17861,sum_heuristic,22,False,0.0
17864,mult_heuristic,22,False,0.0
17865,mult_heuristic,22,False,0.0
17879,mult_heuristic,22,False,0.0
4733,mult_heuristic,22,False,0.0
10131,mult_heuristic,22,False,0.0
16287,mult_heuristic,22,False,0.0
16495,mult_heuristic,22,False,0.0
8730,mult_heuristic,22,False,0.0
10280,mult_heuristic,22,False,0.0
8597,mult_heuristic,22,False,0.0
10320,mult_heuristic,22,False,0.0
13026,mult_heuristic,22,False,0.0
13033,mult_heuristic,22,False,0.0
2822,mult_heuristic,22,False,0.0
240,mult_heuristic,22,False,0.0
2873,mult_heuristic,22,False,0.0
3218,mult_heuristic,22,False,0.0
3226,sum_heuristic,22,False,0.0
6315,mult_heuristic,22,False,0.0
10600,mult_heuristic,22,False,0.0
10564,mult_heuristic,22,False,0.0
10697,sum_heuristic,22,False,0.0
8625,mult_heuristic,22,False,0.0
18026,mult_heuristic,22,False,0.0
8608,mult_heuristic,22,False,0.0
4567,sum_heuristic,22,False,0.0
18016,mult_heuristic,22,False,0.0
16307,mult_heuristic,22,False,0.0
1733,mult_heuristic,22,False,0.0
4382,sum_heuristic,22,False,0.0
10541,mult_heuristic,22,False,0.0
8561,mult_heuristic,22,False,0.0
10462,mult_heuristic,22,False,0.0
5500,sum_heuristic,22,False,0.0
8424,mult_heuristic,22,False,0.0
16019,mult_heuristic,22,False,0.0
10726,mult_heuristic,22,False,0.0
8443,mult_heuristic,22,False,0.0
10666,mult_heuristic,22,False,0.0
10685,mult_heuristic,22,False,0.0
16121,sum_heuristic,22,False,0.0
6332,mult_heuristic,22,False,0.0
6702,mult_heuristic,22,False,0.0
19615,mult_heuristic,22,False,0.0
19561,mult_heuristic,22,False,0.0
2929,mult_heuristic,22,False,0.0
2939,mult_heuristic,22,False,0.0
13883,mult_heuristic,22,False,0.0
13413,mult_heuristic,22,False,0.0
2923,mult_heuristic,22,False,0.0
10964,mult_heuristic,22,False,0.0
10929,mult_heuristic,22,False,0.0
10932,mult_heuristic,22,False,0.0
1879,mult_heuristic,22,False,0.0
16067,mult_heuristic,22,False,0.0
8252,mult_heuristic,22,False,0.0
885,mult_heuristic,22,False,0.0
8321,mult_heuristic,22,False,0.0
2002,mult_heuristic,22,False,0.0
11153,mult_heuristic,22,False,0.0
4213,mult_heuristic,22,False,0.0
4219,mult_heuristic,22,False,0.0
8230,sum_heuristic,22,False,0.0
10863,mult_heuristic,22,False,0.0
10865,mult_heuristic,22,False,0.0
4264,mult_heuristic,22,False,0.0
18282,mult_heuristic,22,False,0.0
15670,mult_heuristic,22,False,0.0
11188,mult_heuristic,22,False,0.0
1956,mult_heuristic,22,False,0.0
15640,mult_heuristic,22,False,0.0
7977,mult_heuristic,22,False,0.0
18456,mult_heuristic,22,False,0.0
770,mult_heuristic,22,False,0.0
12943,mult_heuristic,22,False,0.0
3361,mult_heuristic,22,False,0.0
6882,mult_heuristic,22,False,0.0
19417,mult_heuristic,22,False,0.0
13111,mult_heuristic,22,False,0.0
12892,mult_heuristic,22,False,0.0
2746,mult_heuristic,22,False,0.0
5726,mult_heuristic,22,False,0.0
8000,mult_heuristic,22,False,0.0
15741,mult_heuristic,22,False,0.0
18480,mult_heuristic,22,False,0.0
15477,mult_heuristic,22,False,0.0
15520,mult_heuristic,22,False,0.0
2108,mult_heuristic,22,False,0.0
7724,mult_heuristic,22,False,0.0
18659,mult_heuristic,22,False,0.0
15337,mult_heuristic,22,False,0.0
5782,mult_heuristic,22,False,0.0
18597,mult_heuristic,22,False,0.0
11448,mult_heuristic,22,False,0.0
2255,mult_heuristic,22,False,0.0
3941,mult_heuristic,22,False,0.0
3888,mult_heuristic,22,False,0.0
3892,mult_heuristic,22,False,0.0
15219,mult_heuristic,22,False,0.0
15181,mult_heuristic,22,False,0.0
5803,sum_heuristic,22,False,0.0
11525,mult_heuristic,22,False,0.0
18835,mult_heuristic,22,False,0.0
15092,mult_heuristic,22,False,0.0
11805,sum_heuristic,22,False,0.0
11749,mult_heuristic,22,False,0.0
15266,mult_heuristic,22,False,0.0
15281,mult_heuristic,22,False,0.0
18697,mult_heuristic,22,False,0.0
19356,mult_heuristic,22,False,0.0
6945,mult_heuristic,22,False,0.0
14205,mult_heuristic,22,False,0.0
14963,mult_heuristic,22,False,0.0
3816,mult_heuristic,22,False,0.0
11874,mult_heuristic,22,False,0.0
18778,mult_heuristic,22,False,0.0
5867,mult_heuristic,22,False,0.0
18833,mult_heuristic,22,False,0.0
14910,mult_heuristic,22,False,0.0
14848,mult_heuristic,22,False,0.0
3780,mult_heuristic,22,False,0.0
7501,mult_heuristic,22,False,0.0
517,mult_heuristic,22,False,0.0
14844,mult_heuristic,22,False,0.0
15048,mult_heuristic,22,False,0.0
12104,mult_heuristic,22,False,0.0
3781,mult_heuristic,22,False,0.0
3805,mult_heuristic,22,False,0.0
12027,mult_heuristic,22,False,0.0
3814,mult_heuristic,22,False,0.0
3595,mult_heuristic,22,False,0.0
19051,mult_heuristic,22,False,0.0
496,mult_heuristic,22,False,0.0
510,mult_heuristic,22,False,0.0
18996,mult_heuristic,22,False,0.0
18965,mult_heuristic,22,False,0.0
12220,mult_heuristic,22,False,0.0
19299,mult_heuristic,22,False,0.0
2712,mult_heuristic,22,False,0.0
14255,mult_heuristic,22,False,0.0
7330,mult_heuristic,22,False,0.0
7265,mult_heuristic,22,False,0.0
12396,mult_heuristic,22,False,0.0
6018,mult_heuristic,22,False,0.0
19189,mult_heuristic,22,False,0.0
14474,mult_heuristic,22,False,0.0
14403,mult_heuristic,22,False,0.0
12416,mult_heuristic,22,False,0.0
12719,sum_heuristic,22,False,0.0
7127,mult_heuristic,22,False,0.0
7090,mult_heuristic,22,False,0.0
14389,mult_heuristic,22,False,0.0
3445,mult_heuristic,22,False,0.0
19312,mult_heuristic,22,False,0.0
7210,mult_heuristic,22,False,0.0
6043,mult_heuristic,22,False,0.0
3562,sum_heuristic,22,False,0.0
6641,mult_heuristic,22,False,0.0
5114,mult_heuristic,22,False,0.0
9299,mult_heuristic,22,False,0.0
19971,mult_heuristic,22,False,0.0
17266,mult_heuristic,22,False,0.0
9529,mult_heuristic,22,False,0.0
1319,mult_heuristic,22,False,0.0
5171,mult_heuristic,22,False,0.0
9569,mult_heuristic,22,False,0.0
1207,mult_heuristic,22,False,0.0
17565,mult_heuristic,22,False,0.0
13725,mult_heuristic,22,False,0.0
9315,mult_heuristic,22,False,0.0
3003,sum_heuristic,23,False,0.0
6397,mult_heuristic,23,False,0.0
13590,mult_heuristic,23,False,0.0
13599,mult_heuristic,23,False,0.0
19967,mult_heuristic,23,False,0.0
6679,mult_heuristic,23,False,0.0
6681,mult_heuristic,23,False,0.0
6627,mult_heuristic,23,False,0.0
13389,mult_heuristic,23,False,0.0
