,heuristic,solution_len,acc,cum_acc
216,mult_heuristic,52,False,0.0
690,sum_heuristic,53,False,0.0
564,mult_heuristic,54,False,0.0
596,sum_heuristic,54,False,0.0
748,mult_heuristic,54,False,0.0
392,mult_heuristic,54,False,0.0
606,mult_heuristic,55,False,0.0
142,sum_heuristic,55,False,0.0
271,sum_heuristic,55,False,0.0
116,mult_heuristic,55,False,0.0
673,mult_heuristic,55,False,0.0
356,sum_heuristic,55,False,0.0
219,sum_heuristic,55,False,0.0
809,sum_heuristic,56,False,0.0
280,mult_heuristic,56,False,0.0
84,mult_heuristic,56,False,0.0
122,mult_heuristic,56,False,0.0
672,mult_heuristic,56,False,0.0
380,sum_heuristic,56,False,0.0
911,sum_heuristic,56,False,0.0
202,mult_heuristic,56,False,0.0
675,sum_heuristic,57,False,0.0
288,mult_heuristic,57,False,0.0
153,sum_heuristic,57,False,0.0
767,mult_heuristic,57,False,0.0
333,sum_heuristic,57,False,0.0
111,mult_heuristic,57,False,0.0
917,sum_heuristic,57,False,0.0
391,mult_heuristic,57,False,0.0
511,mult_heuristic,57,False,0.0
302,mult_heuristic,57,False,0.0
34,mult_heuristic,58,False,0.0
339,sum_heuristic,58,False,0.0
464,mult_heuristic,58,False,0.0
301,sum_heuristic,58,False,0.0
394,sum_heuristic,58,False,0.0
584,sum_heuristic,58,False,0.0
182,sum_heuristic,58,False,0.0
136,sum_heuristic,58,False,0.0
472,mult_heuristic,58,False,0.0
389,sum_heuristic,58,False,0.0
192,sum_heuristic,58,False,0.0
746,mult_heuristic,58,False,0.0
764,sum_heuristic,58,False,0.0
265,sum_heuristic,58,False,0.0
722,sum_heuristic,58,False,0.0
549,mult_heuristic,58,False,0.0
864,mult_heuristic,58,False,0.0
196,mult_heuristic,58,False,0.0
317,sum_heuristic,58,False,0.0
51,mult_heuristic,58,False,0.0
671,sum_heuristic,58,False,0.0
7,mult_heuristic,58,False,0.0
383,sum_heuristic,59,False,0.0
592,sum_heuristic,59,False,0.0
345,mult_heuristic,60,False,0.0
516,mult_heuristic,60,False,0.0
72,sum_heuristic,60,False,0.0
964,mult_heuristic,60,False,0.0
894,mult_heuristic,60,False,0.0
473,sum_heuristic,60,False,0.0
936,sum_heuristic,246,False,0.0
9,sum_heuristic,249,False,0.0
849,sum_heuristic,250,False,0.0
778,mult_heuristic,251,False,0.0
492,mult_heuristic,251,False,0.0
52,sum_heuristic,254,False,0.0
38,mult_heuristic,254,False,0.0
560,mult_heuristic,255,False,0.0
531,sum_heuristic,255,False,0.0
909,mult_heuristic,256,False,0.0
897,mult_heuristic,256,False,0.0
927,mult_heuristic,257,False,0.0
977,sum_heuristic,260,False,0.0
230,sum_heuristic,260,False,0.0
379,sum_heuristic,261,False,0.0
337,mult_heuristic,261,False,0.0
551,sum_heuristic,261,False,0.0
520,mult_heuristic,261,False,0.0
795,mult_heuristic,261,False,0.0
518,sum_heuristic,262,False,0.0
554,mult_heuristic,262,False,0.0
372,mult_heuristic,263,False,0.0
830,mult_heuristic,263,False,0.0
56,mult_heuristic,263,False,0.0
754,mult_heuristic,265,False,0.0
200,mult_heuristic,267,False,0.0
133,mult_heuristic,267,False,0.0
390,sum_heuristic,268,False,0.0
703,sum_heuristic,269,False,0.0
589,mult_heuristic,270,False,0.0
121,mult_heuristic,270,False,0.0
802,mult_heuristic,270,False,0.0
395,mult_heuristic,270,False,0.0
979,mult_heuristic,270,False,0.0
334,sum_heuristic,271,False,0.0
729,sum_heuristic,271,False,0.0
770,sum_heuristic,271,False,0.0
638,mult_heuristic,271,False,0.0
631,mult_heuristic,271,False,0.0
994,sum_heuristic,272,False,0.0
649,mult_heuristic,272,False,0.0
332,mult_heuristic,272,False,0.0
175,sum_heuristic,273,False,0.0
910,mult_heuristic,273,False,0.0
626,sum_heuristic,275,False,0.0
970,mult_heuristic,280,False,0.0
766,sum_heuristic,280,False,0.0
793,sum_heuristic,283,False,0.0
700,sum_heuristic,307,False,0.0
898,sum_heuristic,335,False,0.0
282,mult_heuristic,336,False,0.0
860,sum_heuristic,341,False,0.0
558,mult_heuristic,343,False,0.0
443,sum_heuristic,344,False,0.0
522,sum_heuristic,345,False,0.0
135,sum_heuristic,345,False,0.0
95,mult_heuristic,345,False,0.0
981,mult_heuristic,350,False,0.0
692,mult_heuristic,350,False,0.0
335,sum_heuristic,352,False,0.0
375,mult_heuristic,352,False,0.0
786,sum_heuristic,354,False,0.0
471,sum_heuristic,354,False,0.0
439,sum_heuristic,361,False,0.0
273,mult_heuristic,361,False,0.0
528,sum_heuristic,486,False,0.0
438,sum_heuristic,495,False,0.0
620,sum_heuristic,501,False,0.0
801,mult_heuristic,517,False,0.0
304,sum_heuristic,517,False,0.0
101,mult_heuristic,535,False,0.0
338,sum_heuristic,539,True,0.001
218,sum_heuristic,540,False,0.001
44,sum_heuristic,549,False,0.001
777,sum_heuristic,550,True,0.002
497,mult_heuristic,552,True,0.003
944,mult_heuristic,556,True,0.004
544,sum_heuristic,556,False,0.004
612,sum_heuristic,559,True,0.005
808,mult_heuristic,562,True,0.006
585,mult_heuristic,563,True,0.007
807,sum_heuristic,563,True,0.008
955,mult_heuristic,564,True,0.009
716,mult_heuristic,564,False,0.009
162,mult_heuristic,565,False,0.009
895,sum_heuristic,567,True,0.01
143,mult_heuristic,570,True,0.011
926,sum_heuristic,576,False,0.011
731,sum_heuristic,576,False,0.011
847,mult_heuristic,577,False,0.011
78,sum_heuristic,581,True,0.012
877,mult_heuristic,583,False,0.012
735,mult_heuristic,603,False,0.012
370,mult_heuristic,614,False,0.012
862,sum_heuristic,629,True,0.013
540,sum_heuristic,632,False,0.013
637,mult_heuristic,647,False,0.013
63,sum_heuristic,651,False,0.013
212,mult_heuristic,654,False,0.013
714,mult_heuristic,655,False,0.013
869,mult_heuristic,655,False,0.013
359,sum_heuristic,657,False,0.013
781,mult_heuristic,657,False,0.013
739,sum_heuristic,668,False,0.013
941,mult_heuristic,673,False,0.013
137,mult_heuristic,673,False,0.013
160,mult_heuristic,673,False,0.013
35,mult_heuristic,682,False,0.013
