,heuristic,solution_len,acc,cum_acc
4834,mult_heuristic,30,False,0.0
4440,sum_heuristic,30,False,0.0
10874,sum_heuristic,30,False,0.0
1098,sum_heuristic,30,False,0.0
3042,mult_heuristic,30,False,0.0
10535,mult_heuristic,30,False,0.0
4212,sum_heuristic,30,False,0.0
10461,sum_heuristic,30,False,0.0
3115,sum_heuristic,30,False,0.0
3470,mult_heuristic,30,False,0.0
4706,sum_heuristic,30,False,0.0
18185,sum_heuristic,30,False,0.0
4156,mult_heuristic,30,False,0.0
8620,sum_heuristic,30,False,0.0
17218,sum_heuristic,30,False,0.0
2809,mult_heuristic,30,False,0.0
15380,mult_heuristic,30,False,0.0
17861,sum_heuristic,30,False,0.0
19742,sum_heuristic,30,False,0.0
5114,mult_heuristic,30,False,0.0
6462,mult_heuristic,30,False,0.0
11610,sum_heuristic,31,False,0.0
5171,mult_heuristic,31,False,0.0
19051,mult_heuristic,31,False,0.0
3657,sum_heuristic,31,False,0.0
14080,sum_heuristic,31,False,0.0
13896,mult_heuristic,31,False,0.0
14264,sum_heuristic,31,False,0.0
16067,mult_heuristic,31,False,0.0
9282,sum_heuristic,31,False,0.0
2377,sum_heuristic,31,False,0.0
15650,sum_heuristic,31,False,0.0
163,sum_heuristic,31,False,0.0
13683,sum_heuristic,31,False,0.0
13695,mult_heuristic,31,False,0.0
13601,sum_heuristic,31,False,0.0
6209,sum_heuristic,31,False,0.0
745,sum_heuristic,31,False,0.0
8730,mult_heuristic,31,False,0.0
8753,mult_heuristic,31,False,0.0
19245,mult_heuristic,31,False,0.0
14648,sum_heuristic,31,False,0.0
18697,mult_heuristic,31,False,0.0
17880,sum_heuristic,31,False,0.0
15560,mult_heuristic,31,False,0.0
11291,mult_heuristic,31,False,0.0
885,mult_heuristic,31,False,0.0
10303,mult_heuristic,31,False,0.0
8615,mult_heuristic,31,False,0.0
19285,sum_heuristic,31,False,0.0
496,mult_heuristic,31,False,0.0
13711,sum_heuristic,31,False,0.0
13777,mult_heuristic,31,False,0.0
9726,sum_heuristic,31,False,0.0
6775,sum_heuristic,31,False,0.0
17174,sum_heuristic,31,False,0.0
1847,sum_heuristic,31,False,0.0
5975,sum_heuristic,31,False,0.0
4197,mult_heuristic,31,False,0.0
4219,mult_heuristic,31,False,0.0
18562,sum_heuristic,31,False,0.0
5828,sum_heuristic,31,False,0.0
6964,sum_heuristic,31,False,0.0
8597,mult_heuristic,31,False,0.0
8608,mult_heuristic,31,False,0.0
17253,sum_heuristic,31,False,0.0
5726,mult_heuristic,31,False,0.0
1585,sum_heuristic,31,False,0.0
16457,mult_heuristic,31,False,0.0
15130,sum_heuristic,31,False,0.0
19401,sum_heuristic,31,False,0.0
8561,mult_heuristic,31,False,0.0
8638,sum_heuristic,31,False,0.0
13033,mult_heuristic,31,False,0.0
5803,sum_heuristic,31,False,0.0
5786,mult_heuristic,31,False,0.0
17492,sum_heuristic,31,False,0.0
13090,sum_heuristic,31,False,0.0
1429,mult_heuristic,31,False,0.0
1093,sum_heuristic,31,False,0.0
12416,mult_heuristic,31,False,0.0
10883,sum_heuristic,31,False,0.0
17577,sum_heuristic,31,False,0.0
12463,mult_heuristic,31,False,0.0
8321,mult_heuristic,31,False,0.0
8506,sum_heuristic,31,False,0.0
12853,sum_heuristic,31,False,0.0
996,mult_heuristic,31,False,0.0
10835,sum_heuristic,31,False,0.0
1538,sum_heuristic,31,False,0.0
12695,sum_heuristic,31,False,0.0
4693,sum_heuristic,31,False,0.0
15279,mult_heuristic,31,False,0.0
15280,mult_heuristic,31,False,0.0
15048,mult_heuristic,31,False,0.0
12710,sum_heuristic,31,False,0.0
4984,sum_heuristic,31,False,0.0
6684,sum_heuristic,31,False,0.0
9165,mult_heuristic,31,False,0.0
6636,sum_heuristic,31,False,0.0
6641,mult_heuristic,31,False,0.0
655,sum_heuristic,31,False,0.0
6179,mult_heuristic,31,False,0.0
19189,mult_heuristic,31,False,0.0
3562,sum_heuristic,31,False,0.0
9315,mult_heuristic,31,False,0.0
15944,sum_heuristic,31,False,0.0
3764,sum_heuristic,32,False,0.0
14259,sum_heuristic,32,False,0.0
19038,mult_heuristic,32,False,0.0
18983,sum_heuristic,32,False,0.0
14084,sum_heuristic,32,False,0.0
16923,mult_heuristic,32,False,0.0
9370,sum_heuristic,32,False,0.0
18998,mult_heuristic,32,False,0.0
19007,sum_heuristic,32,False,0.0
9455,sum_heuristic,32,False,0.0
16971,mult_heuristic,32,False,0.0
19050,mult_heuristic,32,False,0.0
6604,sum_heuristic,32,False,0.0
6608,sum_heuristic,32,False,0.0
587,sum_heuristic,32,False,0.0
3618,mult_heuristic,32,False,0.0
16992,sum_heuristic,32,False,0.0
3816,mult_heuristic,32,False,0.0
3832,sum_heuristic,32,False,0.0
16804,sum_heuristic,32,False,0.0
14291,sum_heuristic,32,False,0.0
14389,mult_heuristic,32,False,0.0
569,sum_heuristic,32,False,0.0
570,sum_heuristic,32,False,0.0
11938,sum_heuristic,32,False,0.0
11415,mult_heuristic,32,False,0.0
