Map: 100%|██████████| 10/10 [00:00<00:00, 109.82 examples/s]
/n/holylabs/LABS/dam_lab/Lab/sqin/envs/reason/lib/python3.11/site-packages/transformers/training_args.py:1575: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
/n/home05/sqin/self-correct/sudoku/train.py:176: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
tokenized dataset DatasetDict({
    train: Dataset({
        features: ['input_ids'],
        num_rows: 10000
    })
    val: Dataset({
        features: ['input_ids'],
        num_rows: 10
    })
})
[2025-01-15 18:09:12,925] [INFO] [real_accelerator.py:158:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 2.3947, 'grad_norm': 25.75, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.008}
{'loss': 2.4015, 'grad_norm': 24.25, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.016}
{'loss': 2.4035, 'grad_norm': 24.125, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.024}
{'loss': 2.373, 'grad_norm': 23.75, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.032}
{'loss': 2.375, 'grad_norm': 23.0, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.04}
{'loss': 2.3655, 'grad_norm': 22.25, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.048}
{'loss': 2.3217, 'grad_norm': 22.125, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.056}
{'loss': 2.2906, 'grad_norm': 21.75, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.064}
{'loss': 2.2342, 'grad_norm': 20.875, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.072}
{'loss': 2.1984, 'grad_norm': 22.25, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.08}
{'eval_valid_loss': 0.544852614402771, 'eval_valid_runtime': 0.9043, 'eval_valid_samples_per_second': 11.058, 'eval_valid_steps_per_second': 5.529, 'epoch': 0.08}
{'loss': 2.1351, 'grad_norm': 22.25, 'learning_rate': 2.2e-06, 'epoch': 0.088}
{'loss': 2.0511, 'grad_norm': 22.875, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.096}
{'loss': 1.9582, 'grad_norm': 19.125, 'learning_rate': 2.6e-06, 'epoch': 0.104}
{'loss': 1.8021, 'grad_norm': 18.25, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.112}
{'loss': 1.6338, 'grad_norm': 13.875, 'learning_rate': 3e-06, 'epoch': 0.12}
{'loss': 1.535, 'grad_norm': 12.5625, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.128}
{'loss': 1.4428, 'grad_norm': 11.3125, 'learning_rate': 3.4000000000000005e-06, 'epoch': 0.136}
{'loss': 1.378, 'grad_norm': 13.25, 'learning_rate': 3.6000000000000003e-06, 'epoch': 0.144}
{'loss': 1.3409, 'grad_norm': 9.625, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.152}
{'loss': 1.323, 'grad_norm': 11.0625, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.16}
{'eval_valid_loss': 0.3320058584213257, 'eval_valid_runtime': 0.1264, 'eval_valid_samples_per_second': 79.132, 'eval_valid_steps_per_second': 39.566, 'epoch': 0.16}
{'loss': 1.2905, 'grad_norm': 11.0, 'learning_rate': 4.2000000000000004e-06, 'epoch': 0.168}
{'loss': 1.2903, 'grad_norm': 10.3125, 'learning_rate': 4.4e-06, 'epoch': 0.176}
{'loss': 1.2709, 'grad_norm': 10.8125, 'learning_rate': 4.600000000000001e-06, 'epoch': 0.184}
{'loss': 1.2562, 'grad_norm': 10.125, 'learning_rate': 4.800000000000001e-06, 'epoch': 0.192}
{'loss': 1.2533, 'grad_norm': 9.1875, 'learning_rate': 5e-06, 'epoch': 0.2}
{'loss': 1.2522, 'grad_norm': 9.5625, 'learning_rate': 5.2e-06, 'epoch': 0.208}
{'loss': 1.2484, 'grad_norm': 8.5, 'learning_rate': 5.400000000000001e-06, 'epoch': 0.216}
{'loss': 1.2484, 'grad_norm': 10.0625, 'learning_rate': 5.600000000000001e-06, 'epoch': 0.224}
{'loss': 1.2359, 'grad_norm': 12.3125, 'learning_rate': 5.8e-06, 'epoch': 0.232}
{'loss': 1.2314, 'grad_norm': 11.5625, 'learning_rate': 6e-06, 'epoch': 0.24}
{'eval_valid_loss': 0.30839839577674866, 'eval_valid_runtime': 0.1259, 'eval_valid_samples_per_second': 79.438, 'eval_valid_steps_per_second': 39.719, 'epoch': 0.24}
{'loss': 1.2234, 'grad_norm': 12.0625, 'learning_rate': 6.200000000000001e-06, 'epoch': 0.248}
{'loss': 1.2017, 'grad_norm': 12.25, 'learning_rate': 6.4000000000000006e-06, 'epoch': 0.256}
{'loss': 1.1913, 'grad_norm': 10.5625, 'learning_rate': 6.600000000000001e-06, 'epoch': 0.264}
{'loss': 1.215, 'grad_norm': 13.4375, 'learning_rate': 6.800000000000001e-06, 'epoch': 0.272}
{'loss': 1.2023, 'grad_norm': 12.1875, 'learning_rate': 7e-06, 'epoch': 0.28}
{'loss': 1.187, 'grad_norm': 14.5, 'learning_rate': 7.2000000000000005e-06, 'epoch': 0.288}
{'loss': 1.1821, 'grad_norm': 16.125, 'learning_rate': 7.4e-06, 'epoch': 0.296}
{'loss': 1.1873, 'grad_norm': 14.9375, 'learning_rate': 7.600000000000001e-06, 'epoch': 0.304}
