Map: 100%|██████████| 10/10 [00:00<00:00, 25.13 examples/s]
/n/holylabs/LABS/dam_lab/Lab/sqin/envs/reason/lib/python3.11/site-packages/transformers/training_args.py:1575: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
/n/home05/sqin/self-correct/sudoku/train.py:176: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
tokenized dataset DatasetDict({
    train: Dataset({
        features: ['input_ids'],
        num_rows: 26444
    })
    val: Dataset({
        features: ['input_ids'],
        num_rows: 16
    })
})
[2025-01-15 21:23:18,107] [INFO] [real_accelerator.py:158:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.0944, 'grad_norm': 8.25, 'learning_rate': 7.564296520423602e-08, 'epoch': 0.003025260928755105}
{'loss': 1.0226, 'grad_norm': 8.25, 'learning_rate': 1.5128593040847204e-07, 'epoch': 0.00605052185751021}
{'loss': 1.0751, 'grad_norm': 7.625, 'learning_rate': 2.2692889561270803e-07, 'epoch': 0.009075782786265316}
{'loss': 1.1173, 'grad_norm': 8.6875, 'learning_rate': 3.0257186081694407e-07, 'epoch': 0.01210104371502042}
{'loss': 1.0592, 'grad_norm': 7.6875, 'learning_rate': 3.782148260211801e-07, 'epoch': 0.015126304643775526}
{'loss': 1.0654, 'grad_norm': 8.1875, 'learning_rate': 4.5385779122541606e-07, 'epoch': 0.018151565572530632}
{'loss': 1.0413, 'grad_norm': 7.84375, 'learning_rate': 5.29500756429652e-07, 'epoch': 0.021176826501285734}
{'loss': 1.0677, 'grad_norm': 8.0625, 'learning_rate': 6.051437216338881e-07, 'epoch': 0.02420208743004084}
{'loss': 1.0672, 'grad_norm': 7.125, 'learning_rate': 6.807866868381241e-07, 'epoch': 0.027227348358795946}
{'loss': 1.0463, 'grad_norm': 7.71875, 'learning_rate': 7.564296520423602e-07, 'epoch': 0.030252609287551052}
{'eval_valid_loss': 0.26706597208976746, 'eval_valid_runtime': 2.9428, 'eval_valid_samples_per_second': 5.437, 'eval_valid_steps_per_second': 2.719, 'epoch': 0.030252609287551052}
{'loss': 1.0275, 'grad_norm': 7.15625, 'learning_rate': 8.320726172465961e-07, 'epoch': 0.033277870216306155}
{'loss': 1.0796, 'grad_norm': 7.4375, 'learning_rate': 9.077155824508321e-07, 'epoch': 0.036303131145061264}
{'loss': 1.0432, 'grad_norm': 7.09375, 'learning_rate': 9.833585476550682e-07, 'epoch': 0.039328392073816366}
{'loss': 1.0284, 'grad_norm': 6.9375, 'learning_rate': 1.059001512859304e-06, 'epoch': 0.04235365300257147}
{'loss': 1.0264, 'grad_norm': 6.15625, 'learning_rate': 1.13464447806354e-06, 'epoch': 0.04537891393132658}
{'loss': 1.0322, 'grad_norm': 6.75, 'learning_rate': 1.2102874432677763e-06, 'epoch': 0.04840417486008168}
{'loss': 0.9997, 'grad_norm': 5.6875, 'learning_rate': 1.2859304084720123e-06, 'epoch': 0.05142943578883679}
{'loss': 1.0057, 'grad_norm': 5.78125, 'learning_rate': 1.3615733736762481e-06, 'epoch': 0.05445469671759189}
{'loss': 1.0003, 'grad_norm': 7.0, 'learning_rate': 1.4372163388804841e-06, 'epoch': 0.057479957646346995}
{'loss': 0.979, 'grad_norm': 5.15625, 'learning_rate': 1.5128593040847204e-06, 'epoch': 0.060505218575102104}
{'eval_valid_loss': 0.249342143535614, 'eval_valid_runtime': 2.1642, 'eval_valid_samples_per_second': 7.393, 'eval_valid_steps_per_second': 3.697, 'epoch': 0.060505218575102104}
{'loss': 1.0159, 'grad_norm': 4.65625, 'learning_rate': 1.5885022692889562e-06, 'epoch': 0.0635304795038572}
{'loss': 0.9216, 'grad_norm': 4.0, 'learning_rate': 1.6641452344931922e-06, 'epoch': 0.06655574043261231}
{'loss': 0.9836, 'grad_norm': 4.40625, 'learning_rate': 1.7397881996974284e-06, 'epoch': 0.06958100136136741}
{'loss': 0.9599, 'grad_norm': 4.0625, 'learning_rate': 1.8154311649016642e-06, 'epoch': 0.07260626229012253}
{'loss': 0.9659, 'grad_norm': 3.953125, 'learning_rate': 1.8910741301059002e-06, 'epoch': 0.07563152321887763}
{'loss': 0.9096, 'grad_norm': 3.734375, 'learning_rate': 1.9667170953101365e-06, 'epoch': 0.07865678414763273}
{'loss': 0.8835, 'grad_norm': 3.96875, 'learning_rate': 2.0423600605143723e-06, 'epoch': 0.08168204507638784}
{'loss': 0.8684, 'grad_norm': 3.984375, 'learning_rate': 2.118003025718608e-06, 'epoch': 0.08470730600514294}
{'loss': 0.8582, 'grad_norm': 3.75, 'learning_rate': 2.1936459909228443e-06, 'epoch': 0.08773256693389805}
{'loss': 0.8729, 'grad_norm': 8.5, 'learning_rate': 2.26928895612708e-06, 'epoch': 0.09075782786265316}
{'eval_valid_loss': 0.21700450778007507, 'eval_valid_runtime': 2.1688, 'eval_valid_samples_per_second': 7.378, 'eval_valid_steps_per_second': 3.689, 'epoch': 0.09075782786265316}
{'loss': 0.8333, 'grad_norm': 2.890625, 'learning_rate': 2.3449319213313164e-06, 'epoch': 0.09378308879140826}
{'loss': 0.8092, 'grad_norm': 3.234375, 'learning_rate': 2.4205748865355526e-06, 'epoch': 0.09680834972016336}
{'loss': 0.866, 'grad_norm': 3.5, 'learning_rate': 2.4962178517397884e-06, 'epoch': 0.09983361064891846}
{'loss': 0.8533, 'grad_norm': 3.25, 'learning_rate': 2.5718608169440246e-06, 'epoch': 0.10285887157767358}
{'loss': 0.7813, 'grad_norm': 2.734375, 'learning_rate': 2.64750378214826e-06, 'epoch': 0.10588413250642868}
{'loss': 0.7829, 'grad_norm': 2.984375, 'learning_rate': 2.7231467473524962e-06, 'epoch': 0.10890939343518379}
{'loss': 0.8051, 'grad_norm': 4.0625, 'learning_rate': 2.7987897125567325e-06, 'epoch': 0.11193465436393889}
{'loss': 0.7832, 'grad_norm': 3.21875, 'learning_rate': 2.8744326777609683e-06, 'epoch': 0.11495991529269399}
